,id,name,mmi,location,distance,station,longitude,latitude,pga_h,pga_v,pgv_h,pgv_v
0,nz_adcs_20,Ashburton District Council,2,20,244.4,ADCS,171.747563,-43.902444,0.1516184337,0.0758877194,0.0593869104,0.0251117993
1,nz_ambc_20,Amberley HDC,3,20,148.67,AMBC,172.73088,-43.154678,0.2157723852,0.1364160683,0.1077730546,0.0466392447
2,nz_apps_20,Arthurs Pass Police Station,3,20,156.76,APPS,171.567735,-42.948949,0.508398955,0.1434904621,0.2432623362,0.053470167
3,nz_arks_20,Wainuiomata Arakura School,3,20,197.0,ARKS,174.944096,-41.242077,0.340175104,0.1330067893,0.1901656742,0.0597095642
4,nz_arps_20,Arnold River Power Station,2,20,132.82,ARPS,171.407866,-42.523958,0.4197155803,0.1896532949,0.102201042,0.0595636442
5,nz_ashs_20,Ashley School,2,20,162.18,ASHS,172.595947,-43.27441,0.1590692163,0.0776934538,0.0770002594,0.0260535528
6,nz_bdcs_20,Balclutha District Council,1,20,546.78,BDCS,169.719373,-46.249064,0.0138699888,0.0043363091,0.0045907885,0.0018994408
7,nz_bfz_20,Birch Farm,1,20,321.81,BFZ,176.246245,-40.679647,0.0266989114,0.0115700056,0.0158792937,0.0092929654
8,nz_bkz_20,Black Stump Farm,1,20,434.49,BKZ,176.492544,-39.165666,0.0074742576,0.0035162043,0.0073094641,0.0045364152
9,nz_bmts_20,Belmont,2,20,197.53,BMTS,174.92603,-41.191372,0.1160866834,0.0914198974,0.0779984792,0.0418660526
10,nz_bows_20,Bowen St Turnbull House Wellington,3,20,182.4,BOWS,174.776323,-41.279193,0.2723714258,0.2289612456,0.1577857757,0.0812044627
11,nz_btws_20,Nelson Brightwater,3,20,58.81,BTWS,173.128513,-41.389236,0.9195025057,0.3443106985,0.2528587154,0.1186916532
12,nz_bwhs_21,Burwood Hospital,3,21,184.86,BWHS,172.68237,-43.481087,0.2682713636,0.1504368309,0.1332403911,0.0343446139
13,nz_bwrs_20,Waikakaho Road,4,20,108.11,BWRS,173.905118,-41.439544,1.89870098,0.3848606414,0.6708326527,0.1345730306
14,nz_cacs_20,Christchurch Canterbury Aero Club,3,20,185.64,CACS,172.530015,-43.483176,0.8850155926,0.1795250687,0.3407250302,0.0386869229
15,nz_cbgs_20,Christchurch Botanic Gardens,3,20,190.33,CBGS,172.619876,-43.529347,0.4002448283,0.1401586339,0.1552387068,0.0483097502
16,nz_cccc_20,Christchurch Cathedral College,3,20,191.23,CCCC,172.647427,-43.538085,0.3047982382,0.1779123365,0.1911015269,0.0585707912
17,nz_cecs_20,Cheviot Emergency Centre,3,20,120.33,CECS,173.274868,-42.813491,0.299991127,0.1093199169,0.1263208118,0.0555505515
18,nz_cmwz_20,Cape Campbell,3,20,125.4,CMWZ,174.213825,-41.749017,0.3259488426,0.1513420397,0.2304219333,0.1015248537
19,nz_crsz_20,Clarence River Middle Hill,4,20,98.9,CRSZ,173.8154,-42.14457,1.0117808233,0.3297095207,0.6641240445,0.2075370184
20,nz_cshs_20,Castle Hill Station,3,20,176.09,CSHS,171.723556,-43.226527,0.25054434,0.1312823893,0.1178684609,0.0751336175
