,type,geometry.type,geometry.coordinates,properties.acc,properties.activity,properties.hazards,properties.level,properties.volcanoID,properties.volcanoTitle,longitude,latitude
0,Feature,Point,"[175.896, -38.784]",Green,No volcanic unrest.,Volcanic environment hazards.,0,taupo,Taupo,175.896,-38.784
1,Feature,Point,"[175.641727, -39.133318]",Green,No volcanic unrest.,Volcanic environment hazards.,0,tongariro,Tongariro,175.641727,-39.133318
2,Feature,Point,"[174.77, -36.985]",Green,No volcanic unrest.,Volcanic environment hazards.,0,aucklandvolcanicfield,Auckland Volcanic Field,174.77,-36.985
3,Feature,Point,"[-177.914, -29.254]",Green,No volcanic unrest.,Volcanic environment hazards.,0,kermadecislands,Kermadec Islands,-177.914,-29.254
4,Feature,Point,"[176.251, -37.286]",Green,No volcanic unrest.,Volcanic environment hazards.,0,mayorisland,Mayor Island,176.251,-37.286
5,Feature,Point,"[175.632, -39.156]",Green,No volcanic unrest.,Volcanic environment hazards.,0,ngauruhoe,Ngauruhoe,175.632,-39.156
6,Feature,Point,"[173.63, -35.395]",Green,No volcanic unrest.,Volcanic environment hazards.,0,northland,Northland,173.63,-35.395
7,Feature,Point,"[176.501, -38.119]",Green,No volcanic unrest.,Volcanic environment hazards.,0,okataina,Okataina,176.501,-38.119
8,Feature,Point,"[176.281, -38.093]",Green,No volcanic unrest.,Volcanic environment hazards.,0,rotorua,Rotorua,176.281,-38.093
9,Feature,Point,"[174.061, -39.298]",Green,No volcanic unrest.,Volcanic environment hazards.,0,taranakiegmont,Taranaki/Egmont,174.061,-39.298
10,Feature,Point,"[177.183, -37.521]",Yellow,Moderate to heightened volcanic unrest.,"Volcanic unrest hazards, potential for eruption hazards.",2,whiteisland,White Island,177.183,-37.521
11,Feature,Point,"[175.563, -39.281]",Green,Minor volcanic unrest.,Volcanic unrest hazards.,1,ruapehu,Ruapehu,175.563,-39.281
